Name	Shortcut	Category	Subcategory	Tag	Stage	Trigger (When to Use)	Requires Proof?	Requires Review?	Goodwill Tier	Final Action	Internal Notes (Do Not Send)	Response
Package Taking Too Long - Initial	/noscan1	Shipping	No Scan / Awaiting Initial Scan	NO_SCAN	Stage 1	Customer says tracking only shows label created or no scan yet	No	No	Tier 0	Close	Use when internal system shows package handed to USPS or ready for pickup. No refund. No goodwill unless VIP or repeat issue.	Hello, thanks for reaching out. According to our internal systems, your package has been picked up by USPS and is currently awaiting its initial scan. Tracking updates may take some time to appear, and USPS may take 1 to 3 business days to apply the first scan. Please let us know if you have any other questions.
In Transit Delay - Initial	/transit1	Shipping	In Transit Delay	SHIPPING_DELAY	Stage 1	Customer says package is taking too long but tracking shows in transit	No	No	Tier 0	Close	Use when tracking is moving or still within expected delivery window.	Hello, thanks for reaching out. According to the tracking information, your package is currently in transit with the carrier. Shipping updates can sometimes take time to appear between scans. We appreciate your patience and understanding.
Signature Required - Initial	/sig1	Shipping	Signature Required	SIGNATURE_REQUIRED	Stage 1	Customer receives notice that signature is required	No	No	Tier 0	Wait on customer	Use for high-value orders. USPS still has package. No refund.	Hello, thank you for reaching out. Since this is a high-value order, a signature is required for delivery. According to the notice, a delivery attempt was made but no authorized recipient was available. We recommend contacting your local post office to arrange redelivery or pick up the package directly. Please note that if the package is not claimed by [date], it will be returned to the sender. We appreciate your understanding.
Returned Package - Monitoring	/return1	Shipping	Returned Package	RETURNED_PACKAGE	Stage 1	Customer thinks one or more packages are being returned	No	No	Tier 0	Investigate	Use when waiting for returned parcel to physically arrive.	Hello, thanks for following up. We will keep an eye out for any returned packages associated with your orders and will contact you as soon as we receive them or have an update.
Chatbot Spam	/admin1	Admin	Automated Messages	ADMIN	Stage 1	Customer confused by automated messages or repeated bot prompts	No	No	Tier 0	Close	Use simple disengaging note.	Thank you for reaching out. These messages are automatic. Have a great day.
Stall / Internal Review	/admin2	Admin	Stall	ADMIN	Stage 1	Need time to investigate without promising resolution yet	No	No	Tier 0	Investigate	Standard holding response.	Hello, thank you for providing that information. We are currently looking into this matter for you and reviewing everything on our end. Please allow some time for us to provide an update. We appreciate your patience and understanding.
Order Number Request	/admin5	Admin	Stall	ADMIN	Stage 1	Customer is inquiring about order without any information provided.	No	No	Tier 0	Wait on customer	Ask customer for order number.	Hello, thanks for reaching out. Could you please share the order number you are referring to?
Missing Items - Request Photos	/missing1	Order Issue	Missing Items / Missing Packs	MISSING_ITEMS	Stage 1	Customer says package arrived but items are missing	Yes	No	Tier 0	Wait on customer	Default response. Ask for package, packing slip, all contents.	Hello, thanks for reaching out. Could you please send us photos of the package, the packing slip, and all of the contents you received? Once we have those images, we will review everything and investigate the situation right away to help resolve this for you.
Opened Instead of Sealed - Under Review	/sealed1	Order Issue	Sealed vs Opened	SEALED_VS_OPENED	Stage 1	Customer says they wanted item sealed but it was opened	No	Yes	Tier 0	Investigate	Review footage before deciding.	Hello, thank you for providing that information. We are currently looking into this matter for you and reviewing everything on our end. Please allow some time for us to provide an update. We appreciate your patience and understanding.
Surprise Set Refund - Initial	/ssrefund1	Refund	Surprise Set / Randomized	SURPRISE_SET	Stage 1	Customer wants cancellation or refund for surprise set order	No	No	Tier 0	Direct to TikTok	Use default policy response. Keep concise.	Hello, thanks for reaching out. Unfortunately, due to TikTok’s guidelines, all sales on surprise sets are final in accordance with TikTok policy. Please contact TikTok directly for any further assistance. Thank you for your patience and understanding.
Refund - Label Created	/refund1	Refund	Label Created	REFUND_REQUEST	Stage 1	Customer asks for refund but shipping label already created and item not ripped	No	No	Tier 0	Wait on customer	Use only for this specific workflow. Do not use on surprise sets already opened.	Hello, thanks for reaching out. Unfortunately, due to TikTok’s guidelines, once a shipping label has been created, we’re unable to process a refund at this stage. The label has already been created and we will send you an empty pack. Once it arrives, please submit a refund request through TikTok. As soon as it’s requested, we’ll promptly issue your refund. Thank you for your patience and understanding.
Return - Already Shipped	/refund2	Refund	Already Shipped	REFUND_REQUEST	Stage 1	Customer wants return but item already shipped and still sealed	No	No	Tier 0	Wait on customer	Return path only if sealed and unused after arrival.	Hello, we understand your concern. Once the product arrives and it is still sealed and unused, you can submit a return request through TikTok and we will promptly accept it and process the refund once it is returned. Please let us know if you have any other questions.
Missing Package - Initial	/delivered1	Missing Package	Delivered But Not Received	DELIVERED_NOT_RECEIVED	Stage 1	Tracking shows delivered but customer says package missing	No	No	Tier 0	Wait on customer	Ask customer to check area, neighbors, leasing office, parcel locker, post office GPS scan. No replacement now.	Hello, thanks for reaching out. According to the tracking information, the package was marked as delivered by the carrier. We recommend checking around the delivery area, with neighbors, or with your leasing office or mail room in case it was placed in a parcel locker or held there. You can also contact your local post office with your tracking number, as they can verify the GPS delivery scan and confirm where it was left. Please let us know if you have any other questions.
Giveaway Winner - Request Address	/give1	Giveaway	Winner Intake	GIVEAWAY	Stage 1	Customer says they won giveaway and asks how to claim	No	No	Tier 0	Wait on customer	Basic giveaway intake.	Hello, thanks for reaching out and congratulations on winning the giveaway! Please provide your shipping address, and we will get that shipped out shortly.
Damage - Request Photos	/damage1	Damage	Transit Damage	DAMAGE	Stage 1	Customer says package or product arrived damaged	Yes	No	Tier 0	Wait on customer	Request photos first. Do not take fault.	Hello, thanks for reaching out. Please send us photos of the package and the damaged item so we can review everything on our end and determine the best next step.
Package Taking Too Long - Follow Up	/noscan2	Shipping	No Scan / Awaiting Initial Scan	NO_SCAN	Stage 2	Customer follows up after 1 to 2 days with no update	No	No	Tier 0	Close	Reassure only. Do not overexplain. No compensation by default.	Hello, thank you for following up. Your package is still on the way, and in some cases USPS may take additional time to complete the initial scan and update tracking. We appreciate your patience and understanding.
In Transit Delay - Follow Up	/transit2	Shipping	In Transit Delay	SHIPPING_DELAY	Stage 2	Customer upset about delivery speed and asks for refund	No	No	Tier 0	Close	If carrier still has package and product is collectible, do not refund by default.	Hello, thank you for following up. At this time, the package remains in transit with the carrier, and we are unable to issue a refund while it is still on the way. We recommend continuing to monitor tracking for the next update.
Signature Required - Wants Refund	/sig2	Shipping	Signature Required	SIGNATURE_REQUIRED	Stage 2	Customer asks for refund because USPS has package	No	No	Tier 0	Close	State USPS has package, not shop. No refund for collectibles or while package held by carrier.	Hello, thanks for reaching out. Your order is still with USPS, and a delivery attempt was made but no authorized recipient was available. Since this is a high-value collectible, a signature is required, and refunds are not possible while the package is still being held for delivery. We recommend contacting your local post office to arrange redelivery or pickup directly. We appreciate your understanding.
